,ZONA, SUBURBAN , VAN , SPRINTER ,, SUBURBAN , VAN , SPRINTER 
,, ONE WAY , ONE WAY , ONE WAY ,, ROUNDTRIP , ROUNDTRIP , ROUNDTRIP 
 - Codigo Postal,"23456, Fraccionamiento Pueblo Bonito Sunset", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Pueblo Bonito Palacio", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Estrella de Mar", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Arco Iris", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Colinas de Cabo Baja", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Balcones", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Jazmines", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Acuario", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Bugambilias", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Bella Vista", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Lomas del Cabo", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23456, Fraccionamiento Miramar", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23460, Colonia Zona Ejidal", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23460, Colonia Arenal", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23460, Colonia Ampliación Mariano Matamoros", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23460, Colonia La Joya", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23460, Fraccionamiento Tabachines", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23463, Fraccionamiento Cabo San Lucas Country Club", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Residencial San Jerónimo", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Cabo Toscana", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Villa Neptuno", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Cresta del Mar", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Hermitage", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Punta Arena", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Residencial Ciruelos", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Vista de Cortés", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Terrazas las Fuentes", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Las Misiones", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Tamar Residencial", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Sierra Dorada", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Puerta de Hierro", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Residencial Puerta del Sol", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Vista Real", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Reyna Avalos", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Amalfi", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Casa Mexicana", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23467, Fraccionamiento Coto San Diego", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23469, Colonia Benito Juárez", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23469, Unidad habitacional Coromuel", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23469, Colonia Ampliación Juárez", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23470, Colonia La Cruz", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23470, Colonia Ampliación 4 de Marzo", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23470, Colonia Ejidal", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23470, Colonia Ildefonso Green", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23470, Colonia Lienzo Charro Centro", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23470, Fraccionamiento Nueva Ejidal", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23470, Fraccionamiento Libertad", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23472, Colonia 4 de Marzo", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23472, Colonia Obrera", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23472, Colonia Lomas del Faro Viejo", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23472, Fraccionamiento Núcleo Agrario", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23472, Fraccionamiento Lomas Altas", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23472, Fraccionamiento Magisterial", $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Codigo Postal,"23473, Fraccionamiento Reforma", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Altamira", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Altamira Condominios Plus", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Agua Clara", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Santa Bárbara", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Cabo Hills Villas", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Colonia Cerro de los Venados", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Lomas del Pacifico", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Jacarandas", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Hojazen", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Cerro de los Venados", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Auroras", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Brisas del Pacifico Codepa", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Brisas del Pacifico", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Unidad habitacional INFONAVIT Nuevo", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Colonia Los Cangrejos", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Vista Hermosa", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Colonia Gardenias", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Portales", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Casa Blanca", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23473, Fraccionamiento Terranova", $105.00 , $110.00 , $155.00 ,, $210.00 , $220.00 , $310.00 
 - Codigo Postal,"23500, Ranchería Santa Bárbara", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23500, Ranchería Milpillas", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23500, Pueblo Santiago", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23500, Ranchería El Zacatal", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23500, Ranchería Matancitas", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23533, Ranchería Los Frailes", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23535, Ranchería Palo Escopeta", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23560, Colonia Las Cuevas", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23560, Ranchería El Campamento", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23563, Rancho El Leonero", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23570, Rancho Don Martín", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23570, Ranchería La Ribera", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23574, Ranchería Cabo Pulmo", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23575, Ranchería Las Barrancas", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23580, Ranchería Buenavista", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23597, Rancho Buenavista", $230.00 , $260.00 , $300.00 ,, $420.00 , $500.00 , $570.00 
 - Codigo Postal,"23361, Pescadero", $320.00 , $385.00 , $515.00 ,, $640.00 , $770.00 ," $1,030.00 "
 - Codigo Postal,"23362, Pescadero", $320.00 , $385.00 , $515.00 ,, $640.00 , $770.00 ," $1,030.00 "
 - Codigo Postal,"23300, Todos Santos", $320.00 , $385.00 , $515.00 ,, $640.00 , $770.00 ," $1,030.00 "
 - Codigo Postal,"23308, Todos Santos", $320.00 , $385.00 , $515.00 ,, $640.00 , $770.00 ," $1,030.00 "
 - Codigo Postal,"23236, Ensenada de Muertos", $460.00 , $540.00 , $585.00 ,, $900.00 ," $1,050.00 "," $1,000.00 "
 - Codigo Postal,"23232, La Ventana", $460.00 , $540.00 , $585.00 ,, $900.00 ," $1,050.00 "," $1,000.00 "
 - Codigo Postal,"23232, El Sargento", $460.00 , $540.00 , $585.00 ,, $900.00 ," $1,050.00 "," $1,000.00 "
 - Codigo Postal,"23209, Las Cruces", $460.00 , $540.00 , $585.00 ,, $900.00 ," $1,050.00 "," $1,000.00 "
 - Codigo Postal,"23000, La Paz", $460.00 , $540.00 , $585.00 ,, $900.00 ," $1,050.00 "," $1,000.00 "
 - San Jose,Drift San Jose, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - San Jose,Suites Las Palmas, $80.00 , $85.00 , $105.00 ,, $160.00 , $170.00 , $210.00 
 - Corridor, Zoetry - Casa del Mar, $92.00 , $100.00 , $120.00 ,, $184.00 , $200.00 , $240.00 
 - Cabo San Lucas,Castillo Blarney Inn, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Riu Palace, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Riu Santa Fe, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Riu Los Cabos, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
 - Cabo San Lucas,Tesoro Los Cabos, $100.00 , $105.00 , $135.00 ,, $200.00 , $210.00 , $270.00 
